,t,blocked mean,interleaved mean,early mean,middle mean,late mean,instructed mean,blocked stddev,interleaved stddev,early stddev,middle stddev,late stddev,instructed stddev
0,0,0.4503604570902676,0.4702875859338445,0.5778104605202684,0.4508559622195986,0.4975308641975309,0.4375,0.5012487383424782,0.4873024432974487,0.4978869626038385,0.5027528810095965,0.5035345097905664,0.5
1,1,0.5316331706634483,0.5327130852340936,0.6224211001871652,0.5111642743221689,0.598901098901099,0.5797101449275363,0.4963195210038081,0.4944101365370873,0.488718881534369,0.5054315713508766,0.4953617074035577,0.4972216070458061
2,2,0.7208186760473297,0.5623857623857623,0.6419713170596522,0.6406926406926406,0.5357142857142857,0.5555555555555556,0.4488163334128856,0.4928475200029115,0.4802771927728866,0.4843736479952087,0.504077185796846,0.5003910833605343
3,3,0.735830143976672,0.5589309241483154,0.6731395348837209,0.5341789992952783,0.5106918238993711,0.4307692307692308,0.4407242655444099,0.5005489066277712,0.4592888013865045,0.5039673511930237,0.4996875468116925,0.4990375351999702
4,4,0.8183253040634639,0.6287477954144621,0.7942258957115098,0.5429482797903851,0.5308641975308643,0.6710526315789473,0.3882178079469324,0.4737674627637273,0.4082929336957483,0.5019802057692384,0.50404293041555,0.4729526514634587
5,5,0.8698681732580038,0.5666666666666667,0.8021233569261881,0.4890336935791481,0.4993464052287582,0.4657534246575342,0.3370854661284079,0.5007449387240379,0.40284824173752,0.5012596160649602,0.5011651698421511,0.5022779161209768
6,6,0.823595879029578,0.5937183383991894,0.8720930232558141,0.5606418797908159,0.5740740740740741,0.7391304347826086,0.3830831511902722,0.4962161413437386,0.3131771335352925,0.4998227875340433,0.4989376724024982,0.4423258684646913
7,7,0.8237599030864396,0.5103018985371927,0.8570273003033365,0.570785251899803,0.6419753086419753,0.7027027027027027,0.3827345124422368,0.5051221616174418,0.3538361747499122,0.4993306300365401,0.4841963654639233,0.4601884584090189
8,8,0.8709239130434783,0.6133735545500252,0.8439346050146928,0.6441927637579812,0.5521367521367522,0.7205882352941176,0.3359564076370369,0.4854757635329398,0.358534197530376,0.4836718383095518,0.4947192827757573,0.4520463665062094
9,9,0.8705677838280033,0.5090243090243091,0.8761180679785329,0.6803751803751804,0.5841807909604521,0.6081081081081081,0.3331745275437897,0.5047174836084186,0.3294087981657342,0.4668847267630018,0.4983522200155396,0.4915050291014204
10,10,0.8922510283074004,0.5668027210884354,0.9048062015503876,0.5981703830760434,0.6346618357487923,0.7323943661971831,0.3128257980217857,0.4973334635578948,0.2958955597510164,0.4949376201032173,0.4866526466195837,0.4458618132776515
11,11,0.9234042553191488,0.5864483724524293,0.9018826135105203,0.5714285714285713,0.5914249684741488,0.5945945945945946,0.26446489788678823,0.4974544966837392,0.2985855913393109,0.5001832326369415,0.4923975096096368,0.4943216998919631
12,12,0.8795783381562629,0.5856009070294784,0.8871043011589018,0.586038961038961,0.610105580693816,0.7272727272727273,0.3279396893503106,0.4934098378056847,0.3192865640087452,0.4974066726364925,0.4932361238144536,0.4487745552040595
